,nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
57,Solo : A Star Wars Story,Film,"['Action', ' aventure', 'science-fiction']","Embarquez à bord du Faucon Millenium et partez à l’aventure en compagnie du plus célèbre vaurien de la galaxie. Au cours de périlleuses aventures dans les bas-fonds d’un monde criminel, Han Solo va faire la connaissance de son imposant futur copilote Chewbacca et croiser la route du charmant escroc Lando Calrissian… Ce voyage initiatique révèlera la personnalité d’un des héros les plus marquants de la saga Star Wars.",['Ron Howard'],2 h 15 min,25 mai 2018,"['Alden Ehrenreich', ' Woody Harrelson', ' Emilia Clarke']","{'note_moyenne': 5.6, 'nombre_critiques': 18292, 'repartition_note': [266, 365, 894, 1946, 3947, 5574, 3943, 1054, 208, 95]}",58,"['6,9', '290 695']",62,"{'budget': '$275,000,000', 'Cumulative_WW_Gross': '$392,924,807', 'location': 'USA'}"
58,Les Animaux fantastiques : Les Crimes de Grindelwald,Film,"['Aventure', 'fantastique']","1927. Quelques mois après sa capture, le célèbre sorcier Gellert Grindelwald s’évade comme il l’avait promis et de façon spectaculaire. Réunissant de plus en plus de partisans, il est à l’origine d’attaques de moldus par des sorciers et seul celui qu’il considérait autrefois comme un ami, Albus... Lire la suite",['David Yates'],2 h 14 min,14 novembre 2018,"['Eddie Redmayne', ' Katherine Waterston', ' Johnny Depp']","{'note_moyenne': 5.6, 'nombre_critiques': 20292, 'repartition_note': [192, 374, 952, 2189, 3962, 5655, 4447, 1798, 486, 237]}",59,"['6,6', '222 096']",52,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$654,855,901', 'location': 'UK | USA'}"
59,Ni juge ni soumise,Documentaire,,"La juge Anne Gruwez tente d’élucider un crime non résolu depuis plus de deux décennies, à savoir l’assassinat de deux prostituées dans le centre de Bruxelles. Est-ce que la technologie contemporaine permettra de trouver un dénouement à cette affaire ?","['Yves Hinant', 'Jean Libon']",1 h 39 min,18 septembre 2017,"['Anne Gruwez', ' David Derumier', ' Serge Graide']","{'note_moyenne': 7.5, 'nombre_critiques': 4019, 'repartition_note': [24, 11, 14, 45, 122, 375, 1126, 1569, 592, 141]}",60,"['7,4', '936']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$1,262,984', 'location': 'Belgium | France'}"
60,Shéhérazade,Film,['Drame'],"Zachary, 17 ans, sort de prison. Rejeté par sa mère, il traîne dans les quartiers populaires de Marseille. C’est là qu’il rencontre Shéhérazade…",['Jean-Bernard Marlin'],1 h 52 min,5 septembre 2018,"['Dylan Robert', ' Kenza Fortas', ' Idir Azougli']","{'note_moyenne': 7.3, 'nombre_critiques': 4709, 'repartition_note': [29, 27, 33, 62, 150, 488, 1396, 1636, 605, 283]}",61,"['7,1', '1 566']",68,"{'budget': None, 'Cumulative_WW_Gross': '$966,225', 'location': 'France'}"
61,Aquaman,Film,"['Action', ' aventure', ' fantastique']","Les origines d’un héros malgré lui, dont le destin est d’unir deux mondes opposés, la terre et la mer. Cette histoire épique est celle d’un homme ordinaire destiné à devenir le roi des Sept Mers.",['James Wan'],2 h 23 min,21 décembre 2018,"['Jason Momoa', ' Amber Heard', ' Willem Dafoe']","{'note_moyenne': 5.6, 'nombre_critiques': 14211, 'repartition_note': [262, 522, 933, 1609, 2452, 3447, 3116, 1319, 344, 207]}",62,"['6,9', '369 158']",55,"{'budget': '$160,000,000', 'Cumulative_WW_Gross': '$1,148,485,886', 'location': 'USA | Australia'}"
62,Upgrade,Film,"['Action', ' science-fiction', ' thriller']","Après la mort de son épouse lors d’une violente agression qui l’a laissé paralysé, Grey Trace est approché par un inventeur milliardaire qui propose de lui administrer un remède expérimental qui va upgrader son corps et ses facultés. Désormais doté d’un implant fonctionnant à l’intelligence artificielle, Grey voit ses capacités physiques décuplées et se lance dans une mission vengeresse, afin de faire payer ceux qui ont tué sa femme.",['Leigh Whannell'],1 h 40 min,1 juin 2018,"['Logan Marshall-Green', ' Betty Gabriel', ' Harrison Gilbertson']","{'note_moyenne': 6.9, 'nombre_critiques': 4419, 'repartition_note': [8, 14, 45, 116, 318, 952, 1703, 980, 223, 60]}",63,"['7,5', '158 409']",67,"{'budget': '$5,000,000', 'Cumulative_WW_Gross': '$16,706,680', 'location': 'USA | Australia'}"
63,Battleship Island,Film,"['Action', ' drame', ' historique']","Pendant la Seconde Guerre mondiale, des centaines des Coréens sont fait prisonniers sur l’île d’Hashima par les forces coloniales japonaises. Un résistant infiltré sur l’île élabore un plan d’évasion, afin de sauver le plus grand nombre de prisonniers possible...",['Ryoo Seung-wan'],2 h 12 min,26 juillet 2017,"['Hwang Jung-min', ' So Ji-Sub', ' Song Joong-ki']","{'note_moyenne': 7.2, 'nombre_critiques': 1779, 'repartition_note': [3, 1, 19, 37, 100, 292, 672, 507, 114, 34]}",64,"['7,1', '5 762']",60,"{'budget': None, 'Cumulative_WW_Gross': '$46,183,383', 'location': 'South Korea'}"
64,En liberté !,Film,"['Comédie', 'policier']","Yvonne jeune inspectrice de police, découvre que son mari, le capitaine Santi, héros local tombé au combat, n’était pas le flic courageux et intègre qu’elle croyait mais un véritable ripou. Déterminée à réparer les torts commis par ce dernier, elle va croiser le chemin d’Antoine injustement incarcéré par Santi pendant huit longues années. Une rencontre inattendue et folle qui va dynamiter leurs vies à tous les deux.",['Pierre Salvadori'],1 h 48 min,31 octobre 2018,"['Adèle Haenel', ' Pio Marmaï', ' Audrey Tautou']","{'note_moyenne': 6.3, 'nombre_critiques': 8545, 'repartition_note': [57, 98, 252, 481, 1062, 2283, 2765, 1236, 257, 54]}",65,"['4,6', '775']",51,"{'budget': None, 'Cumulative_WW_Gross': '$55,557', 'location': 'France | Portugal | Spain | Germany'}"
65,La Mort de Staline,Film,"['Comédie', 'historique']","Dans les jours qui suivent son attaque cérébrale, les ministres composant la garde rapprochée de Staline se livrent à un combat acharné pour prendre le contrôle, certains souhaitant un changement positif en Union Soviétique, d'autres nourrissant des ambitions plus funestes. Mais tous sont dans la même urgence : lutter à tout prix pour rester, simplement, en vie.",['Armando Iannucci'],1 h 46 min,20 octobre 2017,"['Steve Buscemi', ' Simon Russell Beale', ' Jeffrey Tambor']","{'note_moyenne': 6.5, 'nombre_critiques': 4598, 'repartition_note': [20, 33, 78, 178, 476, 1210, 1687, 754, 134, 28]}",66,"['7,2', '86 819']",88,"{'budget': '$13,000,000', 'Cumulative_WW_Gross': '$24,646,055', 'location': 'UK | France | Belgium | Canada | USA'}"
66,Jurassic World : Fallen Kingdom,Film,"['Action', ' aventure', 'science-fiction']","Cela fait maintenant trois ans que les dinosaures se sont échappés de leurs enclos et ont détruit le parc à thème et complexe de luxe Jurassic World. Isla Nublar a été abandonnée par les humains alors que les dinosaures survivants sont livrés à eux-mêmes dans la jungle. Lorsque le volcan inactif de l’île commence à rugir, Owen et Claire s’organisent pour sauver les dinosaures restants de l’extinction. Owen se fait un devoir de retrouver Blue, son principal raptor qui a disparu dans la nature, alors que Claire, qui a maintenant un véritable respect pour ces créatures, s’en fait une mission. Arrivant sur l’île instable alors que la lave commence à pleuvoir, leur expédition découvre une conspiration qui pourrait ramener toute notre planète à un ordre périlleux jamais vu depuis la préhistoire.",['J. A. Bayona'],2 h 08 min,6 juin 2018,"['Chris Pratt', ' Bryce Dallas Howard', ' Rafe Spall']","{'note_moyenne': 5.2, 'nombre_critiques': 15912, 'repartition_note': [272, 703, 1371, 2281, 3625, 3919, 2462, 925, 205, 149]}",67,"['6,2', '265 623']",51,"{'budget': '$170,000,000', 'Cumulative_WW_Gross': '$1,310,464,680', 'location': 'USA'}"
67,How to Talk to Girls at Parties,Film,"['Science-fiction', ' romance', 'musique']","1977 : trois jeunes anglais croisent dans une soirée des créatures aussi sublimes qu’étranges. En pleine émergence punk, ils découvriront l’amour, cette planète inconnue et tenteront de résoudre ce mystère : comment parler aux filles en soirée…",['John Cameron Mitchell'],1 h 42 min,27 décembre 2017,"['Alex Sharp', ' Elle Fanning', ' Nicole Kidman']","{'note_moyenne': 6.5, 'nombre_critiques': 2765, 'repartition_note': [9, 42, 83, 153, 268, 602, 908, 496, 163, 41]}",68,"['5,7', '9 697']",50,"{'budget': None, 'Cumulative_WW_Gross': '$385,733', 'location': 'UK | USA'}"
68,Red Sparrow,Film,['Thriller'],"Une jeune ballerine, dont la carrière est brisée nette après une chute, est recrutée contre sa volonté par les services secrets russes. Entraînée à utiliser ses charmes et son corps comme des armes, elle découvre l’ampleur de son nouveau pouvoir et devient rapidement l’un de leurs meilleurs agents.",['Francis Lawrence'],2 h 19 min,2 mars 2018,"['Jennifer Lawrence', ' Joel Edgerton', ' Matthias Schoenaerts']","{'note_moyenne': 6.0, 'nombre_critiques': 10653, 'repartition_note': [54, 139, 341, 740, 1714, 3193, 2965, 1126, 286, 95]}",69,"['6,6', '165 540']",53,"{'budget': '$69,000,000', 'Cumulative_WW_Gross': '$151,572,634', 'location': 'USA'}"
69,Amanda,Film,['Drame'],"Paris, de nos jours. David, 24 ans, vit au présent. Il jongle entre différents petits boulots et recule, pour un temps encore, l’heure des choix plus engageants. Le cours tranquille des choses vole en éclats quand sa sœur aînée meurt brutalement. Il se retrouve alors en charge de sa nièce de 7 ans, Amanda.",['Mikhaël Hers'],1 h 47 min,21 novembre 2018,"['Vincent Lacoste', ' Isaure Multrier', ' Stacy Martin']","{'note_moyenne': 6.8, 'nombre_critiques': 3956, 'repartition_note': [24, 26, 59, 109, 316, 778, 1458, 920, 215, 51]}",70,"['7,0', '1 982']",63,"{'budget': None, 'Cumulative_WW_Gross': '$2,133,404', 'location': 'France'}"
70,"Miraï, ma petite soeur",Long-métrage d'animation,"['Animation', ' drame', 'fantastique']","Kun est un petit garçon à l’enfance heureuse jusqu’à l’arrivée de Miraï, sa petite sœur. Jaloux de ce bébé qui monopolise l’attention de ses parents, il se replie peu à peu sur lui-même. Au fond de son jardin, où il se réfugie souvent, se trouve un arbre généalo-ma-gique. Soudain, Kun est propulsé dans un monde fantastique où vont se mêler passé et futur. Il rencontrera tour à tour ses proches à divers âges de leur vie : sa mère petite fille, son arrière grand-père dans sa trépidante jeunesse et sa petite sœur adolescente ! A travers ces aventures, Kun va découvrir sa propre histoire.",['Mamoru Hosoda'],1 h 38 min,20 juillet 2018,"['Moka Kamishiraishi', ' Haru Kuroki', ' Gen Hoshino']","{'note_moyenne': 6.7, 'nombre_critiques': 3848, 'repartition_note': [5, 16, 50, 146, 390, 945, 1363, 688, 187, 58]}",71,"['7,0', '12 339']",81,"{'budget': None, 'Cumulative_WW_Gross': '$28,756,961', 'location': 'Japan'}"
71,Woman at War,Film,"['Comédie', ' drame', 'policier']","Halla, la cinquantaine, déclare la guerre à l’industrie locale de l’aluminium, qui défigure son pays. Elle prend tous les risques pour protéger les Hautes Terres d’Islande… Mais la situation pourrait changer avec l’arrivée inattendue d’une petite orpheline dans sa vie…",['Benedikt Erlingsson'],1 h 40 min,4 juillet 2018,"['Halldóra Geirharðsdóttir', ' Jóhann Sigurðarson', ' Davíð Þór Jónsson']","{'note_moyenne': 7.2, 'nombre_critiques': 2908, 'repartition_note': [11, 3, 13, 39, 101, 398, 1047, 915, 302, 79]}",72,"['7,4', '8 034']",81,"{'budget': 'EUR2,500,000', 'Cumulative_WW_Gross': '$4,544,801', 'location': 'Iceland | France | Ukraine'}"
72,Un couteau dans le cœur,Film,"['Drame', ' Épouvante-horreur', ' romance']","Paris, été 1979. Anne est productrice de pornos gays au rabais. Lorsque Loïs, sa monteuse et compagne, la quitte, elle tente de la reconquérir en tournant un film plus ambitieux avec son complice de toujours, le flamboyant Archibald. Mais un de leurs acteurs est retrouvé sauvagement assassiné et Anne est entraînée dans une enquête étrange qui va bouleverser sa vie.",['Yann Gonzalez'],1 h 42 min,27 juin 2018,"['Vanessa Paradis', ' Kate Moran', ' Nicolas Maury']","{'note_moyenne': 5.9, 'nombre_critiques': 2535, 'repartition_note': [59, 83, 144, 256, 339, 520, 587, 372, 139, 36]}",73,"['6,3', '3 558']",69,"{'budget': None, 'Cumulative_WW_Gross': '$341,847', 'location': 'France | Mexico | Switzerland'}"
73,Thunder Road,Film,"['Comédie', 'drame']","L’histoire de Jimmy Arnaud, un policier texan qui essaie tant bien que mal d’élever sa fille. Le portrait tragi-comique d’une figure d’une Amérique vacillante.",['Jim Cummings'],1 h 31 min,23 janvier 2018,"['Jim Cummings', ' Kendal Farr', ' Nican Robinson']","{'note_moyenne': 6.7, 'nombre_critiques': 3718, 'repartition_note': [13, 17, 52, 119, 373, 696, 1128, 731, 326, 263]}",74,"['7,1', '14 727']",79,"{'budget': '$191,000', 'Cumulative_WW_Gross': '$456,304', 'location': 'USA'}"
74,Sale temps à l'hôtel El Royale,Film,"['Policier', 'thriller']","Sept étrangers, chacun avec un secret à planquer, se retrouvent au El Royale sur les rives du lac Tahoe ; un hôtel miteux au lourd passé. Au cours d’une nuit fatidique, ils auront tous une dernière chance de se racheter… avant de prendre un aller simple pour l’enfer.",['Drew Goddard'],2 h 22 min,5 octobre 2018,"['Jeff Bridges', ' Chris Hemsworth', ' Dakota Johnson']","{'note_moyenne': 6.5, 'nombre_critiques': 6199, 'repartition_note': [16, 36, 129, 259, 705, 1632, 2178, 1005, 193, 46]}",75,"['7,1', '128 350']",60,"{'budget': '$32,000,000', 'Cumulative_WW_Gross': '$31,882,724', 'location': 'USA'}"
75,High Life,Film,"['Aventure', ' drame', 'science-fiction']",Un groupe de criminels condamnés à mort accepte de commuer leur peine et de devenir les cobayes d’une mission spatiale en dehors du système solaire. Une mission hors normes…,['Claire Denis'],1 h 53 min,7 novembre 2018,"['Robert Pattinson', ' Juliette Binoche', ' André 3000']","{'note_moyenne': 5.8, 'nombre_critiques': 3674, 'repartition_note': [80, 121, 264, 406, 627, 794, 795, 438, 113, 36]}",76,"['5,8', '28 646']",77,"{'budget': 'EUR8,000,000', 'Cumulative_WW_Gross': '$2,133,033', 'location': 'France | UK | Germany | Poland | USA'}"
76,The Rider,Film,['Drame'],"Après avoir survécu à une blessure à la tête qui faillit lui être fatale, un jeune cowboy entreprend la quête d'une nouvelle identité et découvre ce que cela signifie d'être un homme au cœur de l'Amérique.",['Chloé Zhao'],1 h 44 min,13 avril 2018,"['Brady Jandreau', ' Tim Jandreau', ' Lilly Jandreau']","{'note_moyenne': 7.1, 'nombre_critiques': 2049, 'repartition_note': [3, 8, 14, 44, 104, 325, 700, 603, 196, 52]}",77,"['7,4', '13 966']",92,"{'budget': None, 'Cumulative_WW_Gross': '$3,434,963', 'location': 'USA'}"
77,Pupille,Film,['Drame'],"Théo est remis à l’adoption par sa mère biologique le jour de sa naissance. C’est un accouchement sous X. La mère à deux mois pour revenir sur sa décision…ou pas. Les services de l’aide sociale à l’enfance et le service adoption se mettent en mouvement. Les uns doivent s’occuper du bébé, le porter (au sens plein du terme) dans ce temps suspendu, cette phase d’incertitude. Les autres doivent trouver celle qui deviendra sa mère adoptante. Elle s’appelle Alice et cela fait dix ans qu’elle se bat pour avoir un enfant. PUPILLE est l’histoire de la rencontre entre Alice, 41 ans, et Théo, trois mois.",['Jeanne Herry'],1 h 47 min,5 décembre 2018,"['Sandrine Kiberlain', ' Gilles Lellouche', ' Elodie Bouchez']","{'note_moyenne': 7.3, 'nombre_critiques': 4696, 'repartition_note': [7, 4, 7, 51, 140, 540, 1701, 1628, 495, 123]}",78,"['7,2', '1 581']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$7,086,596', 'location': 'France | Belgium'}"
78,Sicario La Guerre des cartels,Film,"['Action', ' policier', ' drame']","Les cartels mexicains font régner la terreur à la frontière entre le Mexique et les États-Unis. Rien ni personne ne semble pouvoir les contrer.
L'agent fédéral Matt Graver (Josh Brolin) fait de nouveau appel au mystérieux Alejandro (Benicio Del Toro) pour enlever la jeune Isabela Reyes, fille du baron d'un des plus gros cartels afin de déclencher une guerre fratricide entre les gangs.
Mais la situation dégénère et la jeune fille devient un risque potentiel dont il faut se débarrasser.
Face à ce choix infâme, Alejandro en vient à remettre en question tout ce pour quoi il se bat depuis des années…",['Stefano Sollima'],2 h 02 min,29 juin 2018,"['Benicio Del Toro', ' Josh Brolin', ' Isabela Merced']","{'note_moyenne': 6.4, 'nombre_critiques': 5256, 'repartition_note': [10, 32, 100, 249, 642, 1615, 1854, 613, 111, 30]}",79,"['7,1', '124 779']",61,"{'budget': '$35,000,000', 'Cumulative_WW_Gross': '$75,837,743', 'location': 'USA | Mexico'}"
79,Halloween,Film,['Épouvante-Horreur'],"Laurie Strode est de retour pour un affrontement final avec Michael Myers, le personnage masqué qui la hante depuis qu’elle a échappé de justesse à sa folie meurtrière le soir d’Halloween 40 ans plus tôt.",['David Gordon Green'],1 h 49 min,19 octobre 2018,"['Jamie Lee Curtis', ' Judy Greer', ' Andi Matichak']","{'note_moyenne': 6.0, 'nombre_critiques': 5350, 'repartition_note': [59, 112, 244, 459, 870, 1431, 1423, 574, 115, 63]}",81,"['6,5', '120 780']",67,"{'budget': '$10,000,000', 'Cumulative_WW_Gross': '$255,614,941', 'location': 'USA | UK'}"
80,Mutafukaz,Long-métrage d'animation,"['Action', ' comédie', 'thriller']","Angelino est un jeune loser parmi tant d’autres à Dark Meat City, une mégalopole sans pitié sous le soleil de Californie. La journée, il livre des pizzas dans tous les recoins de la ville et la nuit, il squatte une chambre d’hôtel minable avec son coloc Vinz et une armada de cafards qui font désormais un peu partie de sa famille. À la suite d’un accident de scooter lorsque son chemin a croisé par inadvertance la divine Luna, une fille aux cheveux noir de jais, notre jeune lascar commence à souffrir de maux de tête et d’étranges hallucinations. Des hallucinations, vous avez dit ? Hmm, peut-être pas… Pourchassé par des hommes en noir, Angelino n’a plus aucun doute : il est pris pour cible. Mais pourquoi lui ?","['Shōjirō Nishimi', 'Guillaume Renard (Run)']",1 h 33 min,23 mai 2018,"['OrelSan', ' Gringe', ' Féodor Atkine']","{'note_moyenne': 6.5, 'nombre_critiques': 4740, 'repartition_note': [16, 44, 73, 188, 506, 1075, 1671, 898, 185, 84]}",82,"['6,7', '3 435']",48,"{'budget': None, 'Cumulative_WW_Gross': '$461,724', 'location': 'France | Japan'}"
81,Sur le chemin de la rédemption,Film,"['Drame', 'thriller']","Toller, un ancien aumônier militaire, ravagé par la mort de son fils, conseille une jeune paroissienne, Mary et son mari, un écologiste radical. Cette nouvelle mission lui permet de redonner un sens à sa vie et lui donne l'espoir de pouvoir réparer les erreurs du passé...",['Paul Schrader'],1 h 53 min,18 mai 2018,"['Ethan Hawke', ' Amanda Seyfried', ' Cedric the Entertainer']","{'note_moyenne': 7.1, 'nombre_critiques': 1618, 'repartition_note': [12, 7, 14, 44, 115, 258, 498, 461, 172, 37]}",83,"['7,1', '47 572']",85,"{'budget': None, 'Cumulative_WW_Gross': '$3,862,498', 'location': 'USA | UK | Australia'}"
82,In the Fade,Film,"['Drame', 'thriller']","La vie de Katja s’effondre lorsque son mari et son fils meurent dans un attentat à la bombe. Après le deuil et l’injustice, viendra le temps de la vengeance.",['Fatih Akin'],1 h 46 min,23 novembre 2017,"['Diane Kruger', ' Denis Moschitto', ' Numan Acar']","{'note_moyenne': 6.3, 'nombre_critiques': 3577, 'repartition_note': [33, 43, 89, 196, 389, 869, 1150, 614, 141, 53]}",84,"['7,1', '28 851']",65,"{'budget': None, 'Cumulative_WW_Gross': '$5,104,991', 'location': 'Germany | France'}"
83,Seule sur la plage la nuit,Film,['Drame'],"Young-Hee a tout laissé derrière elle : son travail, ses amis et son histoire d'amour avec un homme marié. Seule sur la plage, elle pense à lui, se demande s'il la rejoindra. Elle se demande combien l'amour peut compter dans une vie.",['Hong Sang-soo'],1 h 41 min,23 mars 2017,"['Kim Min-hee', ' Jung Jae-young', ' Moon Sung-geun']","{'note_moyenne': 6.7, 'nombre_critiques': 1146, 'repartition_note': [5, 22, 28, 66, 127, 261, 310, 220, 79, 28]}",85,"['6,8', '3 213']",80,"{'budget': None, 'Cumulative_WW_Gross': '$429,159', 'location': 'South Korea | Germany'}"
84,Ant-Man et la Guêpe,Film,"['Action', ' aventure', ' science-fiction']","Après les événements survenus dans Captain America : Civil War, Scott Lang a bien du mal à concilier sa vie de super-héros et ses responsabilités de père. Mais ses réflexions sur les conséquences de ses choix tournent court lorsque Hope van Dyne et le Dr Hank Pym lui confient une nouvelle mission urgente… Scott va devoir renfiler son costume et apprendre à se battre aux côtés de La Guêpe afin de faire la lumière sur des secrets enfouis de longue date…",['Peyton Reed'],1 h 58 min,6 juillet 2018,"['Paul Rudd', ' Evangeline Lilly', ' Michael Douglas']","{'note_moyenne': 5.6, 'nombre_critiques': 13220, 'repartition_note': [145, 238, 569, 1348, 2816, 4162, 2923, 800, 123, 96]}",86,"['7,1', '307 853']",70,"{'budget': '$162,000,000', 'Cumulative_WW_Gross': '$622,674,139', 'location': 'USA'}"
85,Heureux comme Lazzaro,Film,"['Drame', 'fantastique']","Lazzaro, un jeune paysan d’une bonté exceptionnelle vit à l’Inviolata, un hameau resté à l’écart du monde sur lequel règne la marquise Alfonsina de Luna.
La vie des paysans est inchangée depuis toujours, ils sont exploités, et à leur tour, ils abusent de la bonté de Lazzaro.
Un été, il se lie d’amitié avec Tancredi, le fils de la marquise. Une amitié si précieuse qu’elle lui fera traverser le temps et mènera Lazzaro au monde moderne.",['Alice Rohrwacher'],2 h 07 min,2018,"['Adriano Tardiolo', ' Alba Rohrwacher', ' Agnese Graziani']","{'note_moyenne': 7.2, 'nombre_critiques': 1791, 'repartition_note': [5, 4, 18, 42, 97, 275, 535, 559, 188, 68]}",87,"['7,5', '15 146']",87,"{'budget': 'EUR5,200,000', 'Cumulative_WW_Gross': '$1,802,696', 'location': 'Italy | Switzerland | France | Germany'}"
86,Revenge,Film,"['Action', 'thriller']","Richard, un riche père de famille, retrouve ses deux associés pour leur partie de chasse annuelle dans une zone désertique de canyons. Les deux hommes découvrent à leur arrivée que leur ami a une relation secrète avec une jeune femme, Jennifer. Pendant que Richard s'absente, l'un des deux hommes viole Jennifer avec la bénédiction de son comparse. De retour, Richard tente de contraindre la jeune femme à quitter le pays, et finit par la pousser du haut d'une falaise, la laissant pour morte.",['Coralie Fargeat'],1 h 48 min,7 février 2018,"['Matilda Anna Ingrid Lutz', ' Kevin Janssens', ' Guillaume Bouchède']","{'note_moyenne': 5.9, 'nombre_critiques': 4229, 'repartition_note': [100, 131, 231, 363, 636, 1061, 1090, 447, 104, 66]}",88,"['7,8', '112 147']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': None, 'location': 'USA'}"
87,Mandy,Film,"['Action', ' fantastique', ' Épouvante-horreur']","Pacific Northwest, 1983. Red Miller et Mandy Bloom mènent une existence paisible et empreinte d'amour. Quand leur refuge entouré de pinèdes est sauvagement détruit par les membres d'une secte dirigée par le sadique Jérémie Sand, Red est catapulté dans un voyage fantasmagorique marqué par la... Lire la suite",['Panos Cosmatos'],2 h 01 min,2018,"['Nicolas Cage', ' Andrea Riseborough', ' Linus Roache']","{'note_moyenne': 6.2, 'nombre_critiques': 2161, 'repartition_note': [47, 57, 110, 146, 302, 428, 511, 389, 123, 48]}",89,"['6,5', '63 566']",81,"{'budget': '$6,000,000', 'Cumulative_WW_Gross': '$1,542,221', 'location': 'UK | Belgium'}"
88,Le Poirier sauvage,Film,['Drame'],"Que nous le voulions ou non, nous ne pouvons nous empêcher d’hériter de certaines particularités de nos pères, comme d’un certain nombre de leurs faiblesses, de leurs habitudes, de leurs tics et d’une multitude d’autres choses. Le glissement inéluctable du destin d’un fils vers un destin similaire à celui de son père est raconté à travers une série d’expériences douloureuses.",['Nuri Bilge Ceylan'],3 h 08 min,2018,"['Doğu Demirkol', ' Murat Cemcir', ' Hazar Ergüçlü']","{'note_moyenne': 7.0, 'nombre_critiques': 993, 'repartition_note': [6, 5, 16, 22, 75, 166, 294, 284, 99, 26]}",90,"['8,1', '20 509']",86,"{'budget': None, 'Cumulative_WW_Gross': '$1,696,258', 'location': 'Turkey | Republic of North Macedonia | France | Germany | Bosnia and Herzegovina | Bulgaria | Sweden | Qatar'}"
89,Le Secret des Marrowbone,Film,"['Fantastique', 'thriller']","A la mort de leur mère, Jack et ses frères et soeurs se retrouvent seuls à Marrowbone, une immense ferme isolée qui appartenait à leur grand-tante et est abandonnée depuis des années. Parce qu'ils ne veulent pas être séparés ils ont décidé de cacher le décès de leur mère au reste du monde et l'ont enterrée dans le jardin. Tous quatre se sont construit leur univers. Mais les choses se compliquent quand le notaire demande à voir leur mère pour signer son testament...",['Sergio G. Sánchez'],1 h 50 min,11 septembre 2017,"['Anya Taylor-Joy', ' George MacKay', ' Mia Goth']","{'note_moyenne': 6.6, 'nombre_critiques': 2888, 'repartition_note': [11, 19, 47, 111, 276, 679, 1030, 542, 129, 44]}",92,"['6,7', '24 944']",63,"{'budget': 'EUR8,000,000', 'Cumulative_WW_Gross': '$12,294,931', 'location': 'Spain | USA'}"
90,La Révolution silencieuse,Film,['Drame'],"Allemagne de l'est, 1956. Kurt, Theo et Lena ont 18 ans et s'apprêtent à passer le bac. Avec leurs camarades, ils décident de faire une minute de silence en classe, en hommage aux révolutionnaires hongrois durement réprimés par l'armée soviétique. Cette minute de silence devient une affaire d'Etat. Elle fera basculer leurs vies. Face à un gouvernement est-allemand déterminé à identifier et punir les responsables, les 19 élèves de Stalinstadt devront affronter toutes les menaces et rester solidaires.",['Lars Kraume'],1 h 51 min,1 mars 2018,"['Leonard Scheicher', ' Jonas Dassler', ' Tom Gramenz']","{'note_moyenne': 7.2, 'nombre_critiques': 1812, 'repartition_note': [4, 2, 5, 30, 65, 237, 638, 607, 179, 45]}",93,"['7,4', '3 841']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$1,233,064', 'location': 'Germany'}"
91,Les Veuves,Film,"['Policier', ' drame', ' romance']","Chicago, de nos jours. Quatre femmes qui ne se connaissent pas. Leurs maris viennent de mourir lors d’un braquage qui a mal tourné, les laissant avec une lourde dette à rembourser. Elles n’ont rien en commun mais décident d’unir leurs forces pour terminer ce que leurs époux avaient commencé. Et prendre leur propre destin en main…",['Steve McQueen'],2 h 09 min,16 novembre 2018,"['Viola Davis', ' Michelle Rodriguez', ' Elizabeth Debicki']","{'note_moyenne': 6.4, 'nombre_critiques': 4549, 'repartition_note': [13, 32, 88, 242, 624, 1291, 1532, 613, 89, 25]}",94,"['6,9', '86 438']",84,"{'budget': '$42,000,000', 'Cumulative_WW_Gross': '$75,984,700', 'location': 'UK | USA'}"
92,La nuit a dévoré le monde,Film,['Épouvante-Horreur'],"En se réveillant ce matin dans cet appartement où la veille encore la fête battait son plein, Sam doit se rendre à l'évidence : il est tout seul et des morts vivants ont envahi les rues de Paris. Terrorisé, il va devoir se protéger et s'organiser pour continuer à vivre. Mais Sam est-il vraiment le seul survivant ?",['Dominique Rocher'],1 h 33 min,7 mars 2018,"['Anders Danielsen Lie', ' Golshifteh Farahani', ' Denis Lavant']","{'note_moyenne': 6.3, 'nombre_critiques': 3573, 'repartition_note': [34, 50, 100, 193, 473, 970, 1205, 462, 64, 22]}",95,"['6,0', '10 173']",50,"{'budget': 'EUR2,990,000', 'Cumulative_WW_Gross': '$95,208', 'location': 'France'}"
